asset,n_rows,ann_return,ann_vol,max_drawdown,skew
midnight-3_usd,18,1314725.67046493,4.710626402461433,-0.39157706497659894,0.32258536448606745
figure-heloc_usd,123,0.13366036254493618,4.0226069185323645,-0.7784045503334047,0.23785000936550124
memecore_usd,177,651.1080906903887,2.4174029026927055,-0.5940232989414848,1.2049129989454703
aster-2_usd,99,-0.630599076252307,2.134845392590974,-0.7103916508687254,1.86917992781067
rain_usd,107,27.625837015922393,1.903006023517599,-0.3192376009612048,5.014064686489783
pump-fun_usd,166,-0.9319820923210966,1.6127517737815305,-0.7984682033257957,-0.11616409335824601
canton-network_usd,47,-0.8008465580647848,1.5497833424403185,-0.5292365305683189,0.543606179111758
pi-network_usd,310,-0.8207224851827861,1.485357780869363,-0.9287147419693057,2.763235155415853
hash-2_usd,212,0.9707479449440031,1.4339044377538677,-0.5465886860195223,0.5521586995257334
ethena_usd,366,-0.8046734033695531,1.3440403889052825,-0.8422545624960743,0.11942511017507366
zcash_usd,366,4.926084735259914,1.3222806818968087,-0.5716192880115072,1.246514519912769
official-trump_usd,343,-0.8507068799224858,1.275456685628391,-0.8900532738339548,0.752288428614252
world-liberty-financial_usd,117,-0.8137567593189662,1.230495335809837,-0.5325810682663743,-0.772972874323999
worldcoin-wld_usd,366,-0.7917308471492392,1.2236882251755852,-0.8166125984674903,0.6877083903065703
okb_usd,366,1.2380047105044047,1.15438334160296,-0.5680015150829434,7.680261897958707
pepe_usd,366,-0.7897610339945924,1.1193474091910196,-0.8274647980267856,-0.08397070077955068
filecoin_usd,366,-0.7343230787021762,1.0958689871039655,-0.8011024716836515,2.334352538730501
arbitrum_usd,366,-0.7711639623257038,1.0890527979874705,-0.8084877531406248,-0.31779965509443514
uniswap_usd,366,-0.5818208770157166,1.0727672878182388,-0.6884314272524442,0.5449531176912018
bittensor_usd,366,-0.5635018282935598,1.0616126953553382,-0.6741204208518845,0.3639886114886394
internet-computer_usd,366,-0.7334374795302874,1.0550643609371075,-0.7725912095483287,0.1160240053607134
hyperliquid_usd,366,-0.09142378352255631,1.0503511526827067,-0.6478268699437675,0.0733839795030193
sui_usd,366,-0.6980635913260735,1.0392843582587779,-0.7460907835414919,0.06016110943896086
cardano_usd,366,-0.6258783921481894,1.0369822478389807,-0.6987046752310195,2.305106103094848
mantle_usd,366,-0.165985985689019,1.0112738990506367,-0.6473512808420365,0.40065568848413174
kaspa_usd,366,-0.6361320773926051,1.004097978232324,-0.7525914462563861,-0.17011496683923985
near_usd,366,-0.7356946111220256,0.9938426567028233,-0.7623385816036312,0.1962544489065857
aave_usd,366,-0.5957968180494653,0.9746503724169046,-0.6627794886225957,-0.2305403697350429
algorand_usd,366,-0.7016808580505207,0.9471739721360294,-0.7719749156971847,0.021385415610383603
ondo-finance_usd,366,-0.771806889072111,0.945682707308719,-0.7697390943669618,-0.03861051009263951
dogecoin_usd,366,-0.630846466401214,0.9384252083685405,-0.705988729829959,-0.24342149813131317
crypto-com-chain_usd,366,-0.41560892366628543,0.9373775926542103,-0.7271783419499479,0.8764991955846734
avalanche-2_usd,366,-0.699843311312332,0.9319795851564142,-0.7400903633329019,-0.6914289419591286
hedera-hashgraph_usd,366,-0.6531195942739223,0.9301644328008987,-0.7203962285749543,0.15548918831051783
chainlink_usd,366,-0.5072751288914268,0.9167397769157294,-0.5907240190091165,-0.24712751969692345
aptos_usd,366,-0.8337344054039436,0.9083570694435923,-0.8571780314116557,-0.6384923794850008
