Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2022-01-03 00:00:00+00:00,323.8984069824219,334.75,338.0,329.7799987792969,335.3500061035156,28865100
2022-01-04 00:00:00+00:00,318.344482421875,329.010009765625,335.20001220703125,326.1199951171875,334.8299865722656,32674300
2022-01-05 00:00:00+00:00,306.1238708496094,316.3800048828125,326.07000732421875,315.9800109863281,325.8599853515625,40054300
2022-01-06 00:00:00+00:00,303.7049560546875,313.8800048828125,318.70001220703125,311.489990234375,313.1499938964844,39646100
2022-01-07 00:00:00+00:00,303.8597412109375,314.0400085449219,316.5,310.0899963378906,314.1499938964844,32720000
2022-01-10 00:00:00+00:00,304.0822448730469,314.2699890136719,314.7200012207031,304.69000244140625,309.489990234375,44289500
2022-01-11 00:00:00+00:00,304.76934814453125,314.9800109863281,316.6099853515625,309.8900146484375,313.3800048828125,29386800
2022-01-12 00:00:00+00:00,307.95257568359375,318.2699890136719,323.4100036621094,317.0799865722656,319.6700134277344,34372200
2022-01-13 00:00:00+00:00,294.9192810058594,304.79998779296875,320.8800048828125,304.0,320.4700012207031,45366000
2022-01-14 00:00:00+00:00,300.14422607421875,310.20001220703125,310.82000732421875,303.75,304.25,39846400
2022-01-18 00:00:00+00:00,292.8388977050781,302.6499938964844,309.79998779296875,301.739990234375,304.07000732421875,42333200
2022-01-19 00:00:00+00:00,293.4969177246094,303.3299865722656,313.9100036621094,302.70001220703125,306.2900085449219,45933900
2022-01-20 00:00:00+00:00,291.822998046875,301.6000061035156,311.6499938964844,301.1400146484375,309.07000732421875,35380700
2022-01-21 00:00:00+00:00,286.4335021972656,296.0299987792969,304.1099853515625,295.6099853515625,302.69000244140625,57984400
2022-01-24 00:00:00+00:00,286.7625732421875,296.3699951171875,297.1099853515625,276.04998779296875,292.20001220703125,85731500
2022-01-25 00:00:00+00:00,279.1380310058594,288.489990234375,294.989990234375,285.1700134277344,291.5199890136719,72848600
2022-01-26 00:00:00+00:00,287.09149169921875,296.7099914550781,308.5,293.0299987792969,307.989990234375,90428900
2022-01-27 00:00:00+00:00,290.1200256347656,299.8399963378906,307.29998779296875,297.92999267578125,302.6600036621094,53481300
2022-01-28 00:00:00+00:00,298.26715087890625,308.260009765625,308.4800109863281,294.45001220703125,300.2300109863281,49743700
2022-01-31 00:00:00+00:00,300.8989562988281,310.9800109863281,312.3800048828125,306.3699951171875,308.95001220703125,46444500
2022-02-01 00:00:00+00:00,298.75091552734375,308.760009765625,310.6300048828125,305.1300048828125,310.4100036621094,40950400
2022-02-02 00:00:00+00:00,303.29852294921875,313.4599914550781,315.1199951171875,308.8800048828125,309.6300048828125,36636000
2022-02-03 00:00:00+00:00,291.484375,301.25,311.2300109863281,299.9599914550781,309.489990234375,43730000
2022-02-04 00:00:00+00:00,296.02227783203125,305.94000244140625,308.79998779296875,299.9700012207031,300.2099914550781,35096500
2022-02-07 00:00:00+00:00,291.194091796875,300.95001220703125,307.8399963378906,299.8999938964844,306.1700134277344,28533300
2022-02-08 00:00:00+00:00,294.6870422363281,304.55999755859375,305.55999755859375,299.95001220703125,301.25,32421200
2022-02-09 00:00:00+00:00,301.1214904785156,311.2099914550781,311.92999267578125,307.3900146484375,309.8699951171875,31284700
2022-02-10 00:00:00+00:00,292.5777282714844,302.3800048828125,309.1199951171875,300.70001220703125,304.0400085449219,45386200
2022-02-11 00:00:00+00:00,285.4756164550781,295.0400085449219,304.2900085449219,294.2200012207031,303.19000244140625,39175600
2022-02-14 00:00:00+00:00,285.43701171875,295.0,296.760009765625,291.3500061035156,293.7699890136719,36359500
2022-02-15 00:00:00+00:00,290.7295837402344,300.4700012207031,300.79998779296875,297.0199890136719,300.010009765625,27058300
2022-02-16 00:00:00+00:00,290.39031982421875,299.5,300.8699951171875,293.67999267578125,298.3699951171875,29982100
2022-02-17 00:00:00+00:00,281.8870544433594,290.7300109863281,296.79998779296875,290.0,296.3599853515625,32461600
2022-02-18 00:00:00+00:00,279.1722106933594,287.92999267578125,293.8599853515625,286.30999755859375,293.04998779296875,34264000
