asset,n_rows,ann_return,ann_vol,max_drawdown,skew
midnight-3_usd,18,1314725.67046493,4.710626402461433,-0.3915770649765989,0.3225853644860674
figure-heloc_usd,123,0.1336603625449361,4.0226069185323645,-0.7784045503334047,0.2378500093655012
memecore_usd,177,651.1080906903887,2.4174029026927055,-0.5940232989414848,1.2049129989454703
aster-2_usd,99,-0.630599076252307,2.134845392590974,-0.7103916508687254,1.86917992781067
rain_usd,107,27.625837015922393,1.903006023517599,-0.3192376009612048,5.014064686489783
pump-fun_usd,166,-0.9319820923210966,1.6127517737815305,-0.7984682033257957,-0.116164093358246
canton-network_usd,47,-0.8008465580647848,1.5497833424403185,-0.5292365305683189,0.543606179111758
pi-network_usd,310,-0.8207224851827861,1.485357780869363,-0.9287147419693056,2.763235155415853
hash-2_usd,212,0.9707479449440032,1.4339044377538677,-0.5465886860195223,0.5521586995257334
ethena_usd,366,-0.8046734033695531,1.3440403889052823,-0.8422545624960743,0.1194251101750736
