coin_id
bitcoin
ethereum
tether
binancecoin
ripple
usd-coin
solana
tron
staked-ether
dogecoin
figure-heloc
cardano
whitebit
bitcoin-cash
wrapped-steth
wrapped-bitcoin
wrapped-beacon-eth
usds
wrapped-eeth
binance-bridged-usdt-bnb-smart-chain
chainlink
zcash
leo-token
monero
weth
stellar
coinbase-wrapped-btc
ethena-usde
hyperliquid
litecoin
sui
avalanche-2
canton-network
hedera-hashgraph
usdt0
dai
shiba-inu
susds
the-open-network
world-liberty-financial
uniswap
crypto-com-chain
paypal-usd
ethena-staked-usde
usd1-wlfi
mantle
polkadot
rain
memecore
bitget-token
aave
tether-gold
okb
falcon-finance
bittensor
near
ethereum-classic
binance-peg-weth
jito-staked-sol
blackrock-usd-institutional-digital-liquidity-fund
pepe
pi-network
aster-2
hash-2
pax-gold
ethena
internet-computer
midnight-3
wrapped-solana
hashnote-usyc
global-dollar
htx-dao
jupiter-perpetuals-liquidity-provider-token
sky
kucoin-shares
syrupusdc
ripple-usd
bfusd
worldcoin-wld
aptos
binance-bridged-usdc-bnb-smart-chain
binance-staked-sol
rocket-pool-eth
wbnb
gatechain-token
ondo-finance
kaspa
arbitrum
kelp-dao-restaked-eth
polygon-ecosystem-token
pump-fun
quant-network
algorand
janus-henderson-anemoy-aaa-clo-fund
bridged-wrapped-lido-staked-ether-scroll
official-trump
ignition-fbtc
filecoin
cosmos
lombard-staked-btc
